OTU id;count;E00944148;E00944149;E00944151;E00944152;E00944153;E00944154;E00944156;E00944157;E00944160;E00944167;E00963469;E00963471;E00963474;E00963476;E00963478;E00963482;E00963484;E00963485;E00963490;E00963491;E00963492;E00963493;E00963495;E00963496;E00963497;E00963498;E00963499;E00963500;E00963501;E00963502;E00963505;E00963506;E00963508;E00963509;E00963510;E00963511;E00963512;E00963740;E00963743;E00963746;E00963750;E00963751;E00963753;E00963757;E00963761;E00963764;E00963842;E00963843;E00963845;E00963846;E00963850;E00963852;E00963853;E00963856;E00963857;E00963859;E00963864;E00982230;E00982232;E00982233;E00982239;E00982241;E00982256;E00982258;E00982259;E00982260;E00982262;E00982264;E00982266;E00982271;E00982273;E00982477;E00982478;E00982481;E00982487;E00982488;E00982489;E00982490;E00982493;E00982494;E00982496;E00982497;E00982499;E00982501
M68YD:01261:03647_SUB_SUB;117;0;3;2;0;1;8;0;46;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:03273:04525_SUB_SUB;1545;0;0;0;0;0;0;0;0;2;0;28;0;10;220;9;0;0;1;5;13;0;25;0;4;527;0;0;26;40;28;2;3;3;0;14;0;24;24;0;0;12;71;0;6;13;54;3;0;25;0;0;1;1;0;58;4;2;203;0;0;0;12;0;0;5;0;0;0;0;0;0;0;5;0;8;0;6;0;0;0;0;47;0;1
M68YD:02801:02810_SUB_SUB;1694;0;0;0;0;0;0;0;0;1;0;24;0;12;397;2;1;0;2;10;21;1;39;0;5;495;0;0;56;41;51;0;4;3;0;18;0;14;16;0;0;12;81;0;2;11;71;1;0;15;0;0;0;1;4;67;3;0;114;0;0;0;14;0;0;3;0;0;0;0;0;2;0;3;0;8;0;3;1;0;0;0;64;0;1
M68YD:00125:02121_SUB_SUB;459;0;0;0;0;0;0;0;2;2;0;0;0;26;5;1;2;0;0;0;1;0;10;0;3;10;0;0;0;0;11;0;0;2;0;2;0;1;4;0;0;0;12;3;1;58;2;0;0;0;0;0;0;0;4;22;8;0;4;0;0;0;0;1;139;9;0;3;0;1;15;26;0;0;0;0;0;0;0;0;6;0;63;0;0
M68YD:00077:05238_SUB_SUB;462;0;0;0;0;0;0;0;2;3;0;1;1;23;2;0;0;0;0;1;1;0;4;0;1;6;0;0;0;0;9;0;0;7;0;2;0;1;1;1;0;0;13;1;0;42;0;0;0;0;0;0;0;0;2;18;5;0;6;0;1;0;0;0;204;16;0;0;0;1;8;15;0;0;0;0;0;0;0;0;0;0;64;0;0
M68YD:00817:06150_SUB_SUB;11773;58;229;37;16;3;11;6;1499;157;853;13;1;108;37;23;6;0;2;7;1625;0;517;0;12;262;0;0;353;0;60;1;0;32;0;4;0;37;83;12;1;86;746;76;88;259;100;2;24;64;0;1;0;0;43;190;33;1;261;0;248;0;35;1;1119;165;1;111;487;54;101;513;6;0;1;119;0;4;0;0;12;0;755;0;2
M68YD:03492:05207_SUB_SUB;468;3;7;2;1;0;1;3;51;6;35;2;0;6;3;0;1;0;0;0;37;0;23;0;0;8;0;0;6;0;1;0;0;2;0;0;0;1;1;1;0;6;24;7;1;10;1;0;0;7;0;0;0;0;0;8;2;0;14;0;14;0;5;0;51;4;1;5;29;3;4;24;1;0;0;4;0;0;0;0;1;0;41;0;0
M68YD:02750:02756_SUB_SUB;146;0;1;1;0;0;0;0;14;2;8;0;0;0;0;0;0;0;0;1;32;0;5;0;0;5;0;0;3;0;2;0;0;1;0;0;0;1;0;0;0;0;7;1;2;6;2;0;1;1;0;0;0;0;0;5;0;0;2;0;5;0;1;1;13;1;0;2;7;1;0;4;0;0;0;4;0;0;0;0;0;0;4;0;0
M68YD:04949:06106_SUB_SUB;1781;0;9;0;0;0;1;0;34;89;20;1;0;4;46;2;4;1;0;1;46;0;22;0;4;203;0;0;19;56;10;0;4;0;0;0;3;33;9;0;1;13;95;1;13;16;32;1;0;32;0;0;0;2;0;15;31;6;55;0;2;0;4;4;69;71;0;0;0;6;9;19;28;24;0;248;1;0;3;1;4;0;346;3;5
M68YD:03783:06542_SUB_SUB;1237;0;2;0;0;0;1;0;29;102;23;1;2;7;44;3;1;1;0;0;33;4;8;0;0;124;0;0;20;32;5;0;1;0;0;2;0;11;9;0;0;4;65;1;7;5;11;1;0;9;0;0;1;1;0;12;12;1;18;0;7;0;5;3;48;49;0;0;0;5;6;9;19;9;0;170;1;0;2;0;0;0;289;2;0
