OTU id;count;E00944148;E00944149;E00944151;E00944152;E00944153;E00944154;E00944155;E00944156;E00944157;E00944160;E00944167;E00963469;E00963471;E00963474;E00963476;E00963478;E00963482;E00963484;E00963485;E00963490;E00963491;E00963492;E00963493;E00963495;E00963496;E00963497;E00963498;E00963499;E00963500;E00963501;E00963502;E00963505;E00963506;E00963508;E00963509;E00963510;E00963511;E00963512;E00963740;E00963743;E00963746;E00963750;E00963751;E00963753;E00963757;E00963761;E00963764;E00963842;E00963843;E00963845;E00963846;E00963848;E00963850;E00963852;E00963853;E00963855;E00963856;E00963857;E00963859;E00963864;E00982230;E00982232;E00982233;E00982239;E00982241;E00982252;E00982256;E00982258;E00982259;E00982260;E00982262;E00982264;E00982266;E00982271;E00982273;E00982477;E00982478;E00982480;E00982481;E00982487;E00982488;E00982489;E00982490;E00982493;E00982494;E00982496;E00982497;E00982499;E00982501
M68YD:03987:06967_SUB_SUB;617;0;168;0;1;1;6;0;0;267;0;174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:04082:06734_SUB_SUB;280;0;150;0;0;0;0;0;0;113;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:04549:06508_SUB_SUB;138;0;24;0;0;1;4;0;0;71;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:04189:04089_SUB_SUB;2056;0;0;0;0;0;0;0;0;0;1;0;7;6;0;14;0;0;137;0;4;5;0;55;0;23;0;0;3;3;0;59;0;0;0;0;0;0;5;29;80;0;121;0;0;0;8;0;0;0;1;0;0;2;0;0;0;0;5;0;161;0;0;0;0;0;0;191;0;12;0;15;10;0;124;32;25;0;0;1;662;0;0;0;24;46;0;80;105;0
M68YD:04302:06420_SUB_SUB;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;9;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;3;9;0;6;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3;0;8;0;0;0;0;0;0;12;0;0;0;1;3;0;14;1;1;0;0;0;103;0;0;0;2;1;0;9;13;0
M68YD:01302:04831_SUB_SUB;235;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;16;0;4;0;0;0;0;0;6;0;0;0;0;0;0;0;1;12;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;40;0;0;0;0;3;0;9;5;5;0;0;0;62;0;0;0;2;17;0;9;5;0
M68YD:04810:04363_SUB_SUB;244;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;16;0;1;1;0;6;0;0;0;0;1;0;0;10;0;0;0;0;0;0;1;2;9;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14;0;0;0;0;0;0;20;0;1;0;1;1;0;22;6;3;0;0;0;66;0;0;0;2;4;0;18;32;0
M68YD:00526:01912_SUB_SUB;297;0;0;0;0;0;0;0;0;0;0;0;1;3;0;2;0;0;21;0;0;3;0;18;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;8;10;0;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;25;0;0;0;0;0;0;26;0;4;0;1;2;0;18;4;4;0;0;0;62;0;0;0;3;1;0;18;32;0
M68YD:01096:02573_SUB_SUB;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;0;0;0;0;9;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;2;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;14;0;1;0;2;0;0;6;2;1;0;0;0;34;0;0;0;2;2;0;1;10;0
M68YD:03789:01332_SUB_SUB;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;4;208;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68YD:02258:01077_SUB_SUB;64004;42;1;0;0;0;34;1;0;0;63;0;381;331;0;655;28;0;5920;0;565;474;1;1250;0;104;0;1;221;150;0;3580;6;0;0;0;0;0;162;960;1264;0;4036;0;0;0;158;40;0;1;52;0;0;36;5;0;0;0;743;0;3033;0;0;99;0;3;0;2216;1;994;0;282;151;10;5966;428;222;0;0;0;11848;0;0;0;453;577;0;3886;12469;101
M68YD:04718:00619_SUB_SUB;7542;5;1;0;0;0;2;0;0;0;4;0;38;27;0;56;3;0;648;0;38;43;0;173;0;12;0;0;18;9;0;361;0;0;0;0;0;0;24;90;163;0;401;0;0;0;16;0;0;0;3;0;0;4;1;0;0;0;67;0;383;0;0;8;0;1;0;285;0;93;0;35;21;0;628;53;37;0;0;0;1734;0;0;0;61;72;0;516;1400;8
M68YD:04332:04044_SUB_SUB;980;0;0;0;0;0;0;0;0;0;1;0;4;4;0;11;0;0;71;0;9;6;0;22;0;1;0;0;3;4;0;56;0;0;0;0;0;0;2;20;16;0;61;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;6;0;34;0;0;1;0;0;0;25;0;8;0;1;1;0;73;5;1;0;0;0;277;0;0;0;7;8;0;64;173;1
M68YD:04950:01844_SUB_SUB;115;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;1;0;1;0;0;0;0;2;0;0;7;0;0;0;0;0;0;0;1;4;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;7;0;3;0;0;0;0;5;0;0;0;0;0;38;0;0;0;1;0;0;10;16;0
M68YD:02753:05629_SUB_SUB;2339;1;0;0;0;0;4;0;0;0;2;0;12;16;0;33;0;0;229;0;25;9;0;40;0;6;0;0;7;10;0;146;0;0;0;0;0;0;8;16;51;0;152;0;0;0;10;1;0;0;0;0;0;1;1;0;0;0;31;0;117;0;0;3;0;1;0;90;0;28;0;17;7;0;213;14;8;0;0;0;462;0;1;0;25;17;0;134;389;2
M68YD:04260:06984_SUB_SUB;423;1;0;0;0;0;0;0;0;0;0;0;3;4;0;1;0;0;41;0;4;2;0;6;0;0;0;0;0;1;0;19;0;0;0;0;0;0;1;1;9;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;21;0;0;2;0;0;0;30;0;2;0;2;1;0;32;1;0;0;0;0;97;0;0;0;2;3;0;35;69;0
M68YD:04080:02799_SUB_SUB;877;1;0;0;0;0;0;0;0;0;0;0;2;2;0;10;0;0;79;0;3;2;0;16;0;4;0;0;0;2;0;45;0;0;0;0;0;0;1;12;19;0;54;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;13;0;33;0;0;2;0;0;0;28;0;8;0;3;2;0;62;6;2;0;0;0;272;0;0;0;9;2;0;62;114;3
M68YD:03439:03869_SUB_SUB;1810;1;0;0;0;0;0;0;0;0;1;0;7;5;0;19;0;0;147;0;11;31;0;42;0;4;0;0;6;6;0;101;0;0;0;0;0;0;3;58;28;0;89;0;0;0;2;1;0;0;3;0;0;3;0;0;0;0;25;0;80;0;0;5;0;0;0;45;0;46;0;9;5;0;183;13;13;0;0;0;254;0;0;0;9;9;0;100;443;3
