OTU id;count;E00944148;E00944149;E00944151;E00944152;E00944153;E00944154;E00944155;E00944156;E00944157;E00944160;E00944167;E00963469;E00963471;E00963474;E00963476;E00963478;E00963482;E00963484;E00963485;E00963490;E00963491;E00963492;E00963493;E00963496;E00963497;E00963498;E00963499;E00963500;E00963501;E00963502;E00963505;E00963506;E00963508;E00963509;E00963510;E00963511;E00963512;E00963740;E00963743;E00963746;E00963750;E00963751;E00963753;E00963757;E00963761;E00963764;E00963842;E00963843;E00963845;E00963846;E00963848;E00963850;E00963852;E00963853;E00963855;E00963856;E00963857;E00963859;E00963864;E00982230;E00982232;E00982233;E00982239;E00982241;E00982252;E00982256;E00982258;E00982259;E00982260;E00982262;E00982264;E00982266;E00982271;E00982273;E00982477;E00982478;E00982480;E00982481;E00982487;E00982488;E00982489;E00982490;E00982493;E00982494;E00982496;E00982497;E00982499;E00982501
M68YD:00724:01688_SUB_SUB;6616;0;9;0;0;1;2;0;18;15;15;65;52;8;0;52;10;84;171;64;1;53;0;48;59;251;0;0;3;0;0;0;0;0;0;76;0;0;9;23;0;9;57;412;5;13;0;0;0;0;122;0;0;0;0;0;0;105;3952;218;28;0;0;0;2;0;41;74;81;0;1;0;0;299;4;0;0;0;0;34;0;1;0;1;0;0;65;0;3
M68YD:04077:05028_SUB_SUB;367;0;0;0;0;0;0;0;1;3;2;0;1;0;0;0;0;3;4;4;0;2;0;3;2;18;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;20;1;0;0;0;0;0;3;0;0;0;0;0;0;10;242;11;1;0;0;0;0;0;2;5;2;0;0;0;0;13;0;0;0;0;0;2;0;0;0;0;0;0;8;0;0
M68YD:02137:05363_SUB_SUB;210;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;3;8;3;0;2;0;1;3;5;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;11;0;1;0;0;0;0;3;0;0;0;0;0;0;5;132;8;2;0;0;0;0;0;3;1;0;0;0;0;0;9;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0
M68YD:01601:05116_SUB_SUB;271;0;0;0;0;0;0;0;0;1;0;2;1;0;0;1;1;4;10;0;0;2;0;1;3;12;0;0;1;0;0;0;0;0;0;5;0;0;1;0;0;0;2;21;1;0;0;0;0;0;3;0;0;0;0;0;0;3;156;10;1;0;0;0;0;0;1;2;4;0;0;0;0;16;0;0;0;0;0;3;0;1;0;0;0;0;2;0;0
M68YD:03305:04826_SUB_SUB;109;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;1;0;1;0;0;3;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1;73;5;0;0;0;0;0;0;0;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
M68YD:00042:03614_SUB_SUB;607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208;0;176;0;0;0;0;222;0
M68YD:04571:01885_SUB_SUB;136900;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;0;6;19;0;0;14;738;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;52745;3;38837;0;0;0;1;43505;0
M68YD:04138:06966_SUB_SUB;17279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;8067;0;4694;0;0;0;0;4380;0
M68YD:00153:02259_SUB_SUB;1892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;966;0;460;0;0;0;0;460;0
M68YD:00320:03408_SUB_SUB;7608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3677;0;1972;0;0;0;0;1926;0
M68YD:05036:03956_SUB_SUB;172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;39;0;0;0;0;52;0
M68YD:01171:06022_SUB_SUB;636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227;0;77;0;0;0;0;278;0
M68YD:00055:03604_SUB_SUB;1163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;256;0;392;0;0;0;0;472;0
M68YD:00425:06064_SUB_SUB;3491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1267;0;992;0;0;0;0;1197;0
M68YD:03759:01788_SUB_SUB;2340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;840;0;742;0;0;0;0;732;0
