id;count;sample:E00944163-S0001plqA-A0000Rep1_IonCode_0229;sample:E00944164-S0001plqA-A0000Rep1_IonCode_0230;sample:E00944165-S0001plqA-A0000Rep1_IonCode_0231;sample:E00944166-S0001plqA-A0000Rep1_IonCode_0232;sample:E00944168-S0001plqA-A0000Rep1_IonCode_0233;sample:E00944194-S0001plqA-A0000Rep1_IonCode_0234;sample:E00944195-S0001plqA-A0000Rep1_IonCode_0235;sample:E00944196-S0001plqA-A0000Rep1_IonCode_0236;sample:E00944200-S0001plqA-A0000Rep1_IonCode_0237;sample:E00944201-S0001plqA-A0000Rep1_IonCode_0238;sample:E00944202-S0001plqA-A0000Rep1_IonCode_0239;sample:E00944203-S0001plqA-A0000Rep1_IonCode_0240;sample:E00944205-S0001plqA-A0000Rep1_IonCode_0242;sample:E00944206-S0001plqA-A0000Rep1_IonCode_0243;sample:E00944208-S0001plqA-A0000Rep1_IonCode_0244;sample:E00944209-S0001plqA-A0000Rep1_IonCode_0245;sample:E00944210-S0001plqA-A0000Rep1_IonCode_0246;sample:E00944211-S0001plqA-A0000Rep1_IonCode_0247;sample:E00944213-S0001plqA-A0000Rep1_IonCode_0248;sample:E00944215-S0001plqA-A0000Rep1_IonCode_0249;sample:E00944217-S0001plqA-A0000Rep1_IonCode_0250;sample:E00944218-S0001plqA-A0000Rep1_IonCode_0251;sample:E00944563-S0001plqA-A0000Rep1_IonCode_0266;sample:E00944564-S0001plqA-A0000Rep1_IonCode_0267;sample:E00963479-S0001plqA-A0000Rep1_IonCode_0202;sample:E00963480-S0001plqA-A0000Rep1_IonCode_0203;sample:E00963481-S0001plqA-A0000Rep1_IonCode_0204;sample:E00963487-S0001plqA-A0000Rep1_IonCode_0205;sample:E00963489-S0001plqA-A0000Rep1_IonCode_0206;sample:E00963503-S0001plqA-A0000Rep1_IonCode_0207;sample:E00963504-S0001plqA-A0000Rep1_IonCode_0208;sample:E00963513-S0001plqA-A0000Rep1_IonCode_0209;sample:E00963514-S0001plqA-A0000Rep1_IonCode_0210;sample:E00963678-S0001plqA-A0000Rep1_IonCode_0211;sample:E00963680-S0001plqA-A0000Rep1_IonCode_0212;sample:E00963683-S0001plqA-A0000Rep1_IonCode_0213;sample:E00963715-S0001plqA-A0000Rep1_IonCode_0268;sample:E00963717-S0001plqA-A0000Rep1_IonCode_0269;sample:E00963721-S0001plqA-A0000Rep1_IonCode_0270;sample:E00963722-S0001plqA-A0000Rep1_IonCode_0271;sample:E00963725-S0001plqA-A0000Rep1_IonCode_0272;sample:E00963726-S0001plqA-A0000Rep1_IonCode_0273;sample:E00963727-S0001plqA-A0000Rep1_IonCode_0274;sample:E00963728-S0001plqA-A0000Rep1_IonCode_0275;sample:E00963729-S0001plqA-A0000Rep1_IonCode_0276;sample:E00963731-S0001plqA-A0000Rep1_IonCode_0277;sample:E00963732-S0001plqA-A0000Rep1_IonCode_0278;sample:E00963734-S0001plqA-A0000Rep1_IonCode_0280;sample:E00963736-S0001plqA-A0000Rep1_IonCode_0282;sample:E00963738-S0001plqA-A0000Rep1_IonCode_0283;sample:E00963739-S0001plqA-A0000Rep1_IonCode_0284;sample:E00963744-S0001plqA-A0000Rep1_IonCode_0252;sample:E00963749-S0001plqA-A0000Rep1_IonCode_0253;sample:E00963754-S0001plqA-A0000Rep1_IonCode_0254;sample:E00963758-S0001plqA-A0000Rep1_IonCode_0255;sample:E00963760-S0001plqA-A0000Rep1_IonCode_0256;sample:E00963814-S0001plqA-A0000Rep1_IonCode_0257;sample:E00963840-S0001plqA-A0000Rep1_IonCode_0285;sample:E00963841-S0001plqA-A0000Rep1_IonCode_0286;sample:E00963849-S0001plqA-A0000Rep1_IonCode_0287;sample:E00963851-S0001plqA-A0000Rep1_IonCode_0288;sample:E00963854-S0001plqA-A0000Rep1_IonCode_0289;sample:E00963858-S0001plqA-A0000Rep1_IonCode_0290;sample:E00963860-S0001plqA-A0000Rep1_IonCode_0291;sample:E00963861-S0001plqA-A0000Rep1_IonCode_0292;sample:E00963862-S0001plqA-A0000Rep1_IonCode_0293;sample:E00963863-S0001plqA-A0000Rep1_IonCode_0294;sample:E00963872-S0001plqA-A0000Rep1_IonCode_0215;sample:E00963876-S0001plqA-A0000Rep1_IonCode_0216;sample:E00963878-S0001plqA-A0000Rep1_IonCode_0217;sample:E00963882-S0001plqA-A0000Rep1_IonCode_0218;sample:E00963887-S0001plqA-A0000Rep1_IonCode_0219;sample:E00963888-S0001plqA-A0000Rep1_IonCode_0220;sample:E00982243-S0001plqA-A0000Rep1_IonCode_0258;sample:E00982245-S0001plqA-A0000Rep1_IonCode_0259;sample:E00982261-S0001plqA-A0000Rep1_IonCode_0260;sample:E00982267-S0001plqA-A0000Rep1_IonCode_0261;sample:E00982269-S0001plqA-A0000Rep1_IonCode_0262;sample:E00982272-S0001plqA-A0000Rep1_IonCode_0263;sample:E00982274-S0001plqA-A0000Rep1_IonCode_0264;sample:E00982275-S0001plqA-A0000Rep1_IonCode_0265;sample:E00982461-S0001plqA-A0000Rep1_IonCode_0221;sample:E00982463-S0001plqA-A0000Rep1_IonCode_0222;sample:E00982464-S0001plqA-A0000Rep1_IonCode_0223;sample:E00982467-S0001plqA-A0000Rep1_IonCode_0224;sample:E00982468-S0001plqA-A0000Rep1_IonCode_0225;sample:E00982469-S0001plqA-A0000Rep1_IonCode_0226;sample:E00982473-S0001plqA-A0000Rep1_IonCode_0227;sample:E00982474-S0001plqA-A0000Rep1_IonCode_0228;sample:E00982498-S0001plqA-A0000Rep1_IonCode_0295
P8S2G:04007:06615_SUB_SUB;10995;0;38;202;83;13;45;80;0;396;367;0;13;70;43;0;56;32;399;110;768;21;74;0;0;57;95;28;0;0;33;0;0;12;0;79;0;0;0;619;192;0;0;2;0;0;0;120;198;5;31;189;0;125;32;19;33;281;2;0;69;0;222;1059;27;1360;0;2059;0;0;674;1;0;0;18;29;203;0;120;77;34;0;0;0;0;30;29;0;1;11;10
P8S2G:04016:06614_SUB_SUB;3601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3475;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;14;0;0
P8S2G:03999:06681_SUB_SUB;17590;0;33;314;87;8;68;157;0;641;470;0;17;101;45;0;75;55;517;158;787;24;114;2;0;62;176;57;0;0;31;0;0;31;0;109;0;0;0;1065;237;0;0;0;2;0;0;180;360;10;56;307;3;189;49;28;53;557;2;0;110;0;365;1995;33;2215;0;3760;0;0;958;1;0;0;13;46;325;0;238;107;65;0;0;0;0;32;32;0;2;23;33
P8S2G:03984:06701_SUB_SUB;110;0;2;4;21;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04012:06796_SUB_SUB;569;0;12;5;7;1;8;52;0;5;0;0;0;7;15;0;0;0;7;0;5;6;16;13;0;0;0;0;0;0;0;0;50;0;26;0;0;0;0;0;31;1;0;0;0;0;0;0;1;0;77;0;1;22;29;87;8;0;2;0;0;0;0;10;6;0;16;8;0;0;0;0;0;0;20;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;3
P8S2G:04019:06950_SUB_SUB;2636;0;0;71;33;0;0;0;0;0;0;0;0;0;0;0;0;579;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;556;15;12;24;21;0;0;0;0;0;0;0;0;0;0;0;0;1119;0;0;0;12;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:03991:07024_SUB_SUB;1840;0;10;30;9;2;5;13;0;81;38;0;1;11;11;0;9;1;47;12;151;5;7;0;0;11;30;3;0;0;8;0;0;3;0;8;0;0;0;99;42;0;0;0;0;0;0;18;42;1;4;29;0;32;13;7;11;45;0;0;23;0;69;167;11;255;1;258;0;0;86;0;0;0;5;3;41;0;18;19;16;0;0;0;0;4;5;0;0;2;8
P8S2G:04036:06440_SUB_SUB;384;0;1;6;5;1;2;5;0;17;15;0;1;0;2;0;0;2;7;4;43;3;2;0;0;1;6;0;0;0;0;0;0;1;0;2;0;0;0;18;10;0;0;0;0;0;0;4;9;0;1;5;0;6;2;2;2;10;0;0;2;0;19;23;2;42;0;53;0;0;20;0;0;0;1;1;13;0;4;5;1;0;0;0;0;1;0;0;0;1;1
P8S2G:04036:06442_SUB_SUB;21457;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;6;1787;1;16145;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04049:06413_SUB_SUB;4232;0;27;93;33;6;15;44;0;178;138;0;2;29;35;0;34;10;151;39;330;15;25;0;0;25;99;10;0;0;10;0;0;7;0;24;0;0;0;178;113;0;0;0;0;0;0;46;89;6;8;52;0;58;38;14;18;70;0;0;64;0;288;320;25;525;0;445;0;0;236;0;0;0;18;8;77;0;50;50;41;0;0;0;0;4;2;0;1;2;7
P8S2G:04044:06815_SUB_SUB;16586;0;69;231;117;20;53;150;0;746;482;0;14;87;54;0;77;34;492;123;687;21;84;0;0;69;292;55;0;0;25;0;0;17;0;90;0;0;0;800;387;0;0;0;0;0;0;195;295;11;30;204;4;284;109;38;54;464;2;0;115;0;1085;1713;51;2264;0;2460;0;0;905;0;0;1;21;46;355;0;209;157;121;0;0;0;0;32;29;0;0;13;43
P8S2G:04076:06806_SUB_SUB;22328;0;119;397;191;21;73;206;0;954;747;0;18;117;84;0;103;59;751;212;1219;44;108;0;0;87;400;51;0;0;52;0;0;30;0;139;0;0;0;1025;576;1;1;1;0;0;0;229;453;15;58;290;7;376;149;52;99;485;3;0;226;0;1212;2104;79;3025;1;2968;0;0;1286;3;0;0;73;43;464;0;291;202;205;0;0;0;0;33;34;1;2;14;60
P8S2G:04044:06978_SUB_SUB;234;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;58;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04108:06471_SUB_SUB;2110;1;134;4;5;10;0;298;0;226;0;0;0;0;0;0;930;0;339;50;88;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04110:06620_SUB_SUB;6074;0;247;71;18;10;0;0;0;27;3745;0;0;51;0;0;428;0;29;51;0;1;14;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;56;0;564;13;77;226;25;7;27;49;45;0;0;0;0;87;0;0;0;0;0;0;0;2;0;0;8;12;0;0;19;0;0;0;0;0;0;0;0;0;0;0;57
P8S2G:04118:06631_SUB_SUB;204270;0;306;1439;628;5808;3;3;0;241;1;0;0;429;2;1;79;0;130;975;2;54;37;5333;13832;2272;2487;0;2958;251;1062;364;3244;0;290;3711;2;675;153;2645;4831;995;1210;20233;3;2;744;2396;863;3687;7683;289;252;3474;1110;602;591;25;840;0;2975;5;0;1681;517;4464;4276;6453;2490;3818;9695;429;649;7505;331;402;30131;2079;15000;1522;1721;2156;1;378;122;704;90;3517;965;204;743
P8S2G:04153:06706_SUB_SUB;1154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1136;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
P8S2G:04233:06413_SUB_SUB;1221;0;0;0;0;0;0;756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04208:06556_SUB_SUB;453;0;47;2;2;2;0;76;0;42;0;0;0;0;0;0;187;0;68;5;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04263:06507_SUB_SUB;174;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;79;21;5;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04277:06614_SUB_SUB;1543;0;6;19;13;2;10;14;0;84;44;0;3;4;6;0;4;3;46;8;91;3;4;0;0;9;22;4;0;0;2;0;0;3;0;6;0;0;0;68;43;0;0;0;1;0;0;20;33;0;0;31;1;22;12;1;5;38;1;0;9;1;95;148;6;220;1;231;0;0;64;0;0;0;1;2;36;0;16;7;13;0;0;0;0;2;3;0;0;0;2
P8S2G:04268:06771_SUB_SUB;632;0;176;0;0;0;65;0;0;1;0;0;0;12;99;110;51;0;0;0;0;60;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04271:06930_SUB_SUB;6691;0;44;104;58;7;159;584;0;66;0;0;0;141;177;0;0;0;72;4;46;70;185;217;6;0;0;0;0;0;0;0;565;0;397;0;0;0;0;0;305;23;0;0;2;1;0;0;16;0;968;13;5;219;162;968;57;0;0;0;0;0;0;148;62;0;159;250;0;0;0;0;0;0;119;28;172;0;47;0;0;0;0;0;0;0;0;0;0;0;65
P8S2G:04315:06754_SUB_SUB;441;0;0;4;2;1;1;3;0;11;12;0;0;1;0;0;1;0;19;9;28;2;1;0;0;3;8;5;0;0;1;0;0;0;0;2;0;0;0;23;8;0;0;0;0;0;0;6;4;0;1;8;0;3;1;0;1;10;1;0;4;0;15;42;1;61;0;102;0;0;20;0;0;0;0;0;2;0;8;3;0;0;0;0;0;2;1;0;0;0;0
P8S2G:04432:06697_SUB_SUB;1615;0;61;114;38;21;30;165;0;19;382;0;0;14;0;0;283;0;12;6;27;18;23;6;1;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;57;35;13;14;98;0;0;0;0;0;2;0;0;0;0;0;0;0;50;0;0;12;3;34;0;15;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04426:06716_SUB_SUB;318;0;14;0;2;0;0;40;0;48;0;0;0;0;0;0;153;0;38;6;13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04433:06741_SUB_SUB;421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;412;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
P8S2G:04395:06893_SUB_SUB;151200;2;8411;200;37;287;3970;2328;0;41;1;0;0;5911;3761;1201;12461;807;54;500;174;5029;3583;66;118;1161;1;0;0;1;4;0;277;0;0;265;3;0;0;664;11538;5996;1813;150;2;1193;0;13;1696;310;40627;172;17;254;129;21;39;28;8;0;439;2;0;1258;7941;732;10774;1762;0;7;0;17;68;360;19;11;3;4160;75;0;0;17;0;0;0;81;0;4;8;0;8138
P8S2G:04388:07015_SUB_SUB;4045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3648;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04461:06740_SUB_SUB;985;0;0;0;0;0;0;0;0;0;0;0;445;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;46;0;0;10;75;0;0;0;0;0;0;0;0;0;0;0;42;2;0;0;0;6;0;2;0;5;0;27;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;43;0;17;0;0;0;48;2;119;12;3;0;35
P8S2G:04493:06541_SUB_SUB;1057;0;1;14;6;1;8;6;0;41;26;0;0;5;3;0;4;2;41;8;120;3;5;0;0;0;9;0;0;0;3;0;0;1;0;10;0;0;0;57;13;0;0;0;0;0;0;9;22;1;4;27;0;9;2;0;5;29;0;0;5;0;17;103;7;119;0;208;0;0;44;0;0;0;2;1;28;0;9;7;4;0;0;0;0;3;2;0;0;3;0
P8S2G:04645:06785_SUB_SUB;880;0;19;52;23;3;13;81;0;17;134;0;0;23;0;0;144;0;19;2;42;26;21;1;1;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;103;25;15;12;53;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;5;3;13;0;2;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:04635:06851_SUB_SUB;289;0;20;149;70;4;0;0;0;42;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00686:05773_SUB_SUB;453;0;7;14;7;0;3;0;0;18;13;0;1;5;2;0;2;1;9;4;46;2;3;0;0;5;11;1;0;0;0;0;0;4;0;2;0;0;0;9;19;0;0;0;0;0;0;7;9;0;4;8;0;2;3;2;2;9;0;0;6;0;64;27;1;40;0;19;0;0;37;0;0;0;3;0;6;0;5;4;5;0;0;0;0;0;0;0;0;1;1
P8S2G:00696:06007_SUB_SUB;841;0;7;36;132;20;0;0;0;1;642;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00705:06238_SUB_SUB;1719;0;397;55;20;0;185;0;0;143;420;0;0;0;0;0;0;0;174;68;0;166;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00740:05912_SUB_SUB;685;0;7;12;12;0;3;2;0;22;18;0;1;8;0;0;5;1;31;3;48;1;0;0;0;6;9;1;0;0;0;0;0;0;0;5;0;0;0;22;29;0;0;0;0;0;0;11;21;0;3;6;0;8;8;2;1;18;0;0;10;0;84;51;1;81;0;48;0;0;58;0;0;0;3;1;9;0;6;3;3;0;0;0;0;3;0;0;0;0;0
P8S2G:00782:06285_SUB_SUB;1090;0;11;30;15;0;3;10;0;41;34;0;0;4;6;0;3;1;35;4;87;3;6;0;0;7;19;2;0;0;3;0;0;3;0;6;0;0;0;32;32;0;0;0;0;0;0;11;27;0;2;8;0;20;2;1;4;16;0;0;25;0;139;78;3;123;1;80;0;0;95;0;0;0;6;2;21;0;10;7;9;0;0;0;0;2;0;0;0;0;1
P8S2G:00778:06347_SUB_SUB;1887;0;45;131;45;29;48;195;0;39;266;0;0;40;11;0;303;0;27;13;70;43;44;8;1;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;138;60;24;17;145;0;0;0;0;0;1;0;0;0;0;0;0;0;25;0;0;7;13;53;0;5;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00827:06193_SUB_SUB;15805;0;716;11;4;22;430;225;0;5;0;0;0;651;371;88;1134;65;1;41;14;583;317;9;10;110;0;0;0;0;4;0;30;0;0;28;0;0;0;55;1284;462;129;14;0;94;0;2;191;32;4676;10;1;26;6;1;11;4;2;0;44;0;0;125;1119;61;1179;173;0;0;1;2;4;26;4;1;2;367;5;0;0;0;0;0;0;17;0;0;0;0;806
P8S2G:00978:06113_SUB_SUB;970;0;197;0;0;0;116;0;0;4;0;0;0;31;138;187;70;0;0;0;0;105;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
P8S2G:00968:06247_SUB_SUB;188;0;6;2;0;0;0;31;0;13;0;0;0;0;0;0;93;0;28;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:01015:06039_SUB_SUB;133;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;117;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:01054:06031_SUB_SUB;486;0;4;15;6;1;1;7;0;15;19;0;0;2;1;0;4;0;18;5;56;1;4;0;0;2;7;0;0;0;1;0;0;0;0;4;0;0;0;16;10;0;0;0;0;0;0;2;3;1;3;6;1;3;6;3;4;11;0;0;6;0;20;66;1;56;0;43;0;0;35;0;0;0;0;1;5;0;7;1;3;0;0;0;0;0;0;0;0;0;0
P8S2G:01112:06041_SUB_SUB;1642;0;6;31;16;2;6;19;0;55;56;0;0;9;5;0;13;1;58;15;120;2;14;0;0;7;24;2;0;0;4;0;0;3;0;12;0;0;0;68;41;0;0;1;0;0;0;17;50;0;8;25;0;33;14;4;11;40;1;0;16;0;146;113;7;181;0;196;0;0;108;0;0;0;4;2;18;0;17;15;13;0;0;0;0;4;4;0;0;1;4
P8S2G:01121:06239_SUB_SUB;523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;136;0;0;132;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;1;0;0;0;18;0;0;0;0;0;0;42;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;10;6;97;0;0;0;0
P8S2G:01275:05783_SUB_SUB;2291;0;6;13;1;0;0;0;0;24;0;0;0;0;0;0;1609;0;37;18;14;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;545;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;2;0;0;1;0;0;0;0;0;0;0;0;0
P8S2G:01291:06120_SUB_SUB;2230;0;10;46;14;3;6;23;0;111;73;0;3;11;9;0;16;7;83;17;94;5;11;0;0;5;30;4;0;0;3;0;0;2;0;10;0;0;0;116;53;0;0;0;0;0;0;20;37;2;6;22;0;37;9;3;10;67;1;0;14;0;58;233;9;349;0;311;0;0;105;0;0;0;8;5;65;0;28;24;15;0;0;0;0;9;8;0;0;4;6
P8S2G:01299:06214_SUB_SUB;338;0;0;6;2;0;0;7;0;12;15;0;1;0;4;0;3;0;8;4;34;0;4;0;0;1;6;3;0;0;2;0;0;2;0;0;0;0;0;10;14;0;0;0;0;0;0;5;1;0;1;7;1;4;2;0;1;4;0;0;1;0;28;31;0;40;0;31;0;0;13;0;0;0;0;0;13;0;3;6;6;0;0;0;0;2;0;0;0;0;0
P8S2G:00048:02229_SUB_SUB;1711;0;2;29;5;1;8;18;0;71;33;0;3;15;7;0;6;3;53;10;110;1;12;0;0;4;14;6;0;0;4;0;0;2;0;7;0;0;0;111;17;0;0;0;0;0;0;9;31;2;1;38;0;18;5;4;4;56;0;0;6;0;28;182;6;180;1;419;0;0;72;0;0;0;2;1;43;0;20;17;3;0;0;0;0;2;5;0;1;1;2
P8S2G:00036:02415_SUB_SUB;4010;0;13;58;13;3;13;43;0;148;83;0;2;16;14;0;12;11;110;27;149;9;24;0;0;10;50;17;0;0;5;0;0;4;1;18;0;0;0;240;71;0;0;0;0;0;0;42;75;4;8;70;1;59;11;2;12;129;0;0;26;0;164;440;11;528;0;821;0;0;209;0;0;0;5;8;85;0;45;47;16;0;0;0;0;9;11;0;0;1;7
P8S2G:00081:01949_SUB_SUB;2673;0;18;24;25;1;14;24;0;83;68;0;3;8;2;0;17;3;54;24;72;2;8;0;0;11;73;5;0;0;2;0;0;3;0;7;0;0;0;88;87;0;0;0;0;0;0;42;36;1;6;27;0;36;13;2;8;55;0;0;21;0;586;202;5;321;1;298;0;0;123;0;0;0;3;9;42;0;41;17;33;0;0;0;0;10;2;0;0;2;5
P8S2G:00131:02129_SUB_SUB;449;0;86;0;0;0;67;0;0;1;0;0;0;9;61;85;29;0;0;0;0;39;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P8S2G:00160:02042_SUB_SUB;3127;0;5;39;18;3;18;20;0;185;70;0;5;24;10;0;15;9;102;23;84;5;15;0;0;9;47;11;0;0;5;0;0;3;0;21;0;0;0;127;51;0;0;0;0;0;0;19;34;2;8;27;1;51;12;3;20;120;0;0;19;0;103;478;4;529;0;389;0;0;188;0;0;0;5;14;77;0;30;22;24;0;0;0;0;5;7;0;0;2;10
